CNES,FANTASIA
3955206,CONSULTORIO MEDICO FRANCISCO CROSSETTI NETO
3955214,CONSULTORIO MEDICO LUIZ CARLOS PASCOUTTO ABREU
3955230,FARMACIA POPULAR DO BRASIL SANTA MARIA
3955265,CONSULTORIO MEDICO EDUARDO CASTILHOS RODRIGUES CORREA
3955273,RAQUEL CORREA ALBA
3955281,CONSULTORIO MEDICO DOMINGOS DO NASCIMENTO TERRA FILHO
3955311,FISIOTERAPEUTA FERNANDA CALIL PETRI
3955338,FISIOVITA CLINICA DE FISIOTERAPIA LTDA
3955362,EDEZIO WEBBER DE OLIVEIRA
3955443,CLELIA MARIA BICCA KROEFF
3955591,PAULO ROBERTO MENTA CARAZINHO
3955605,SERGIO LUIZ GARCIA MACEDO CARAZINHO
3955613,JOAO CARLOS VIEIRA BENJAMIN
3955648,ALEXEY VIEIRA MANFRO
3955672,MICHELLI OLIVEIRA MOROKAWA MANFRO
3955729,CENTRO DE DIAGNOSTICO UNIMED CARAZINHO
3955761,MOCOCA
3955834,CONSULTORIO ODONTOLOGICO DR ORLANDO RAMOS
3955923,NOELI MAGNABOSCO
3956032,MIRELA LOPES MARQUES
3956334,VERA BEATRIZ TELICHEVESKY
3956512,LEONIDIO VIOTT CARAZINHO
3956598,ALESSANDRA RECH CARAZINHO
3957233,PASQUALINO RENATO GUARAGNA
3957314,MICHELE TINOCO TAVARES
3957373,MARIA INES PLENTZ
3957411,INCLUSIV MEDICINA DE REABILITACAO SOCIEDADE SIMPLES LTDA
3957551,REGIS FERNANDO ANGNES
3957586,LUIZ FERNANDO EGGLER FERRUGEM
3957594,CARLOS ROBERTO MUNEROLI CARAZINHO
3957896,STELA MARIS REVEILLEAU
3957918,SILVANO PAULETTI DE MOURA CARAZINHO
3957926,NEFROCOR
3958086,JOSE ANTONIO VERONESE MASCIA
3958205,MB FARMACIAS
3958310,GISELDA KIPPER RICHTER
3958329,GERALDO RICHTER
3958388,PSF 02 URUGUAIANA
3958396,PSF 01 CAIC URUGUAIANA
3958418,CONS MED VERA REGINA DE OLIVEIRA MIRANDA
3958426,CONSULTORIO GINECOLOGICO DR ANTONIO
3958469,CONSULTORIO DE GINECOLOGIA E OBSTRECIA DR SERGIO
3958477,CONSULTORIO DE MASTOLOGIA E GINECOLOGIA DR TONI
3958485,CONSULTORIO MEDICO DR NILSO ZAFFARI
3958523,ZUFFO LABORATORIO CLINICO
3958531,CLINICA PENNO
3958558,ANAMED CLINICA ESPECIALIZADA S C LTDA
3958566,ANA PAULA TESSER WALLAUER
3958574,LIGIA ESTIVALETE PENNO
3958582,EDIO KRUGER PENNO
3958604,GILBERTO CARLOS DO AMARAL
3958612,ADRIANA SABHA CORREA RAHMAN
3958647,ANAOR SILVA AGUIAR
3958663,ROSANA DIESEL SPARENBERG
3958671,ALINE KOSINSKI DE OLIVEIRA
3958728,CONSULTORIO MEDICO SERGIO ANDRADE DA ROSA
3958736,CONSULTORIO MEDICO JOAO ALBERTO LARANGEIRA
3958744,CLOVIS JOSE CERATTI
3958752,CONSULTORIO MEDICO CEZAR AUGUSTO MOREJON ESTRADA
3958779,CONSULTORIO MEDICO TELMO BRUCK CORSEUIL
3958809,CONSULTORIO MEDICO ANDRE LUIZ BLATTES FLORES
3958825,CONSULTORIO MEDICO ANIBAL SCHMIDT ROLIM
3958868,CONSULTORIO MEDICO JEFFERSON ARAMIS LAMPERT DRESSLER
3958884,REJANE KUHN ADAMES
3958892,DANIELA MICHELIN LETTI
3958906,ALMIRO ANTONIO MARTIN DA SILVA
3958922,CONSULTORIO ODONTOLOGICO DR MARCO VALERIO GIRONDI
3958930,LUCIANO JACOMINE CASTILHOS
3958957,JOSE CARLOS MAGNABOSCO
3958965,JOZENIA LISBOA
3958973,MAURICIO DE QUADROS
3959007,FLAVIANA BECKER DARTORA
3959015,FISIOFAR CLINICA DE FISIOTERAPIA LTDA
3959023,LILIAN CRISTINE RANZI
3959058,MARIA FERNANDA COSTA RESENDE
3959066,TEREZINHA MARIA PINTO DE SOUZA
3959074,ORESTES BLANCO NETTO
3959104,ZOFFI ROBERTO SOUZA GERBER CLINICA PEDIATRICA EIRELI ME
3959163,MARIA DE LOURDES NUNES DA SILVA
3959228,CLIMED
3959422,JOSE EDUARDO NANINI DA SILVA
3959589,WALMIR GREMELMAIER
3959619,MARIAH SBROGLIO GROSS
3959848,THIAGO MARINI OFTALMOLOGIA
3960285,IOHB
3960358,CONSULTORIO MEDICO HILDA JOSEFA GOMEZ RODRIGUES CORREA
3960374,CONSULTORIO MEDICO ARNOLDO AZEVEDO DOS SANTOS
3960404,CLINICA DE OLHOS SANTA LUZIA
3960412,FISIOTERAPIA E REABILITACAO GERIATRICA AL FASOLO
3960420,PEDRO PAULO BOTTOM MORO
3960439,PAULO GILBERTO SILVEIRA
3960447,ENIO GOMES AQUINO
3960463,GERSON LUIS BARTH
3960471,JOAO CARLOS SANTOS
3960498,RUBEM FREY
3960528,LUIZ FELIPE FERREIRA ONOFRIO
3960536,LUIZ ROBERTO MOREIRA CHAVES
3960544,DARIO CARLOS HUBNER
3960609,CARLOS FERNANDO
3960838,ITALO DE MAMAN JUNIOR
3960854,CLAUDETE DE SALLES VALIATI
3960986,DARLAN MARTINS LARA CARAZINHO
3960994,MARIO FLORIANI
3961060,ROSANNE PLATCHECK CIA LTDA
3961184,AECIO CESAR BELTAO
3961532,FERNANDEZ COMERCIO DE MEDICAMENTOS S A
3961559,REDE MAXXI ECONOMICA
3961761,ESTHER FAJER
3961818,NEIVA MARIA MIONI
3962091,ANDRE VICENTE ESTEVES DE CARVALHO
3962415,LEAMARA THIMMIG MILOST
3962652,VALERIA CRISTINA APPEL ABRAHAM
3962679,CONSULTORIO ODONTOLOGICO MARIA TERESA MONEGO
3962717,CONSULTORIO DE PSICOLOGIA VANIA LUIZA FELLI KUBICA
3962733,CONSULTORIO MEDICO SANDREA MARIA DOLANDA GINDRI
3962938,CASSIANO ANDRE NARDI
3962954,ROGERIO IVAN HEIN
3963144,IVANEI ROBERTO SAUSEN
3963152,GILBERTO JOSE ENRICONI
3963160,LISANDRA ENRICONI
3963179,MARCIA TERESINHA JUSTEN
3963306,MARISA INES DALCIN
3963314,PATRICIA OTTEN FRANCO PILZ
3963349,ANA LISIE GARCIA VARGAS
3963365,INSTITUTO DO CANCER INFANTIL
3963403,ROSANA SOUZA VAN DER LAAN
3963411,PAULO ALBERTO FRANZOI
3963624,SAIDE AMERICO FERREIRA ELSADE
3963888,ECAR AGUIAR ESTRELA
3963985,CENTRO DE ATENCAO PSICOSSOCIAL CAPS
3964094,SWAROWSKY MORAES LTDA
3964132,LEONARDO AVER PIRES
3964272,FARMACIA SANTO ANTONIO 3
3964329,CENTRO DE ATENCAO PSICOSSOCIAL INFANTIL
3964337,LAURA PRESTES
3964345,FLAVIA RATTO SCARDOLLI
3964361,IMECOM RADIOLOGIA FRONTEIRA NOROESTE LTDA
3964388,GLAUCIA PRETTO FLORES
3964396,ALESSI ALESSI LTDA ME
3964434,CONSULTORIO ODONTOLOGICO CARLOS FRANCISCO MENDES DE SOUZA
3964442,CONSULTORIO ODONTOLOGICO ARTIGAS ROSA SILVEIRA
3964450,NUTRICIONISTA VALERIA MARCHIORI NUSSBAUMER
3964469,CONSULTORIO ODONTOLOGICO
3964477,FISIOMED SUL
3964485,UNIMED PLANALTO MEDIO
3964493,OFTALMO INST DE DIAG E TRATAM OFTALMOLOGICO LTDA
3964515,CLINICA INTEGRADA BRKANITCH
3964523,CLINICA GASTROBESE S C LTDA
3964531,MIRNES MARLI MARCON
3964566,ELIANE SIQUEIRA LODI
3964574,ALBINO JULIO SCIESLESKI
3964582,JOAO HALLEY GUERREIRO
3964590,MARIA LUCIA WELTER
3964604,JOSE FELIPE WELTER
3964655,GILBERTO BORGES BORTOLINI
3964663,CLINICA DATAMED LTDA
3964698,MEZZOMO MEZZOMO LTDA MARAU
3964701,PSF SAO JOSE OPERARIO MARAU
3964728,PSF CENTRO RIGO MARAU
3964752,MARCIA PIRES BARBOSA
3964795,ANA PAULA DORNELLES DA SILVA MANZONI
3964876,LUIZ GILBERTO SOARES OSTERMANN
3964892,SANDRO ROBERTO HANSEL
3964906,ELBIO BALCEMAO ESTEVE CARAZINHO
3964922,CENTRO DE SAUDE OCUPACIONAL VENANCIO AIRES
3964930,TAIGUARA FERNANDO GUIMARAES
3964949,LUIZ FERNANDO FENNER
3964957,MAURO LUIZ SMANIOTTO CARAZINHO
3964965,MARIA TEREZA SILVEIRA WENDEL
3964973,MARIA DO HORTO VASCONCELLOS MENNA BARRETO
3965066,THEREZINHA MARIA SOLARI E OLIVEIRA
3965074,IVONE MARQUES DE FREITAS SANTOS
3965155,DANIELA DE LINHARES GARBIN - CARAZINHO
3965236,ALEXANDRE DAN CORTEZ HIGUCHI - CARAZINHO
3965260,CLINICA PSICOLOGICA
3965287,LOURDES TEREZINHA PORTO
3965414,EURICO DA SILVA ALGARVE
3965465,FARMACIA VIDA E SAUDE
3965538,RENATO EL AMMAR
3965546,LABORCLINICA
3965554,LUCIANE GHELLER VERONESE
3965635,UNIMED PLANALTO CENTRAL RS SOS
3965643,VIRGINIA PASSOS MARTINS
3965651,EDUARDO PINTO DE CAMPOS
3965694,JORGE EDUARDO SCHMIDT
3965708,AMABILE DAIANE NOGUEIRA RUBIN
3965716,ELIO LEONARDO FURIAN
3965740,JULIO CESAR MOTTA DE ANDRADE
3965759,IVORI CAINO DE OLIVEIRA
3965767,ELIO BESSA FURIAN
3965783,MARCOS BESSA FURIAN
3965791,SELMA LUIZA ZENOBINI DE SOUZA
3965805,LETICIA JUNG NICOLODI
3965813,JOSE GERSON DA ROSA SOARES
3965821,MARCOS RENATO DE OLIVEIRA BESSA
3965856,MATTEO BAIOTTO SOARES
3965864,RUBILAR MARTINS DE SOUZA
3965899,DANIELA MARCHIORI DIAS
3965902,CAMILA DE AZEVEDO DE ASSIS
3965910,CLAUDIO AFFONSO LERMEN
3965945,DEAL ADMINISTRACAO E PARTICIPACOES
3965953,SILVIO KLIPPEL CARAZINHO
3966194,FERNANDO ARTHUR DOS SANTOS
3966208,VIVIANE EDLER ROTTA
3966216,PHILADELPHO MANOEL GOUVEIA FILHO
3966224,MICHELLE MENEGAS ALVES
3966259,APAE DE INDEPENDENCIA
3966291,CLINICA DR SACHETT
3966550,CITOCLIN CANOAS
3966569,ISABEL CRISTINA ROCKENBACH CARAZINHO
3966704,ATILLA CSABA FERTIG
3966844,BRUNA SILVA DA SILVA GIL
3966917,CLINICA JOSE KARAM MAGALHAES
3966941,ORTOPCLIN
3967034,CONSULTORIO DE GINECOLOGIA DR LEILA
3967042,CONSULTORIO DE PEDIATRIA DR JOAO VANNI
3967069,CONSULTORIO DE CARDIOLOGIA DR CELIO FAHL
3967093,CONSULTORIO OTORRINOLARINGOLOGIA DR JOAO ELMAR
3967115,CLINICA CONSOLATA
3967182,ELAINE INES PAULETTO DALMOLIN
3967190,MED FIS CLINICA FISIOTERAPICA LTDA ME
3967204,CLIMED ESPECIALIZADA LTDA
3967212,CLINICA MEDICA SCUSSEL LTDA
3967239,INSTITUTO DE ENDOSCOPIA DIGESTIVA ENDOPASSO
3967247,CCO CLINICA E CIRURGIA DE OLHOS LTDA
3967255,LABCENTER LABORATORIO DE ANALISES CLINICA LTDA
3967263,DANUZA VIZEU MEDAGLIA
3967271,ADRIANA TERESINHA GUZZELA
3967301,ANTONIO CARLOS FOLLE
3967328,REJANE BEATRIZ TERGOLINA SALTON
3967336,ANA MARIA PIANA
3967344,CONSULTORIO MEDICO AMILTON BARROS BANDEIRA DE MELLO
3967352,CONSULTORIO MEDICO ENIO ANTONIO FRASSON
3967360,CONSULTORIO MEDICO JORGE ERNANI DA SILVA CRUZ
3967379,CONSULTORIO MEDICO NAJA TEREZINHA PEREIRA MARCHI
3967387,CONSULTORIO MEDICO JONES OLIVEIRA DE MORAES
3967409,CONSULTORIO MEDICO GERSON PEREIRA DE OLIVEIRA
3967425,CONSULTORIO MEDICO CARLOS AUGUSTO BRUNELLI PETRI
3967433,CLINICA DR JOAO CARLOS BASSANI
3967441,ANA MARIA BERTUOL PALMA
3967476,JOAO VICENTE DO ESPIRITO SANTO
3967484,LABORATORIO CITOCLIN
3967514,MOISES RUBEN CLOSS
3967522,PAULO FERNANDO CONTE
3967565,SERGIO PAULO BERTOGLIO
3967581,JUSSANE TERESINHA MAZZOCHI
3967603,ROBERTO BELLORA CLINICA PSIQUIATRICA EIRELI
3967638,JOSE VONEY SILVEIRA JUNIOR
3967646,RENATO GILBERTO ROESE
3967654,SHEILA BEHAR
3967662,MARCOS HENRIQUE MALANGA
3967670,ROGERIO RICARDO ZIMPEL
3967700,IONARA ROSANE ALVES DE OLIVEIRA
3967719,SANDRA SOFIA SCHROEDER
3967727,RICARDO MULLER KAUTZMANN
3967778,DERMATOLOGIA CLINICA E CIRURGICA
3967816,CLINICA SCHARLAU LTDA
3967840,AUDIOLOGIA CARINE WALBER MACHADO E CIA LTDA CARAZINHO
3967891,CLINICA DE FISIOTERAPIA E REABILITACAO VITAL FORMA LTDA
3967972,OLIVAUCHER CLINICA DE REABILITACAO ORAL LTDA
3967980,HERMENEGILDO DE ASSIS BRASIL CARVALHO
3968014,VANESSA SANTOS DE MACEDO
3968049,PAULO ROBERTO PANTE
3968065,ROSA LINA BORGO
3968081,CLINICA RESTELATTO
3968111,LEANDRO CAON MARTINI
3968243,LABORATORIO EBERLE
3968359,TANIA MARIA ZUQUETTO DE ALMEIDA
3968421,CLINICA DE ATENDIMENTO PSICOSSOCIAL CAPS
3968456,CAPS
3968588,CLINICA DE DERMATOLOGIA
3968634,LUCIANE BERNARDI PEREIRA
3968847,HEMOLAB
3968952,DENIS NESTOR EHLE PFEIFF
3968987,FISIOCLINICA CARAZINHO
3969185,FALA CENTRO DE FONOAUDIOLOGIA SOCIEDADE SIMPLES LTDA
3969495,SORRISO TRIUNFO
3969509,CENTRO UNIVERSITARIO CENECISTA DE OSORIO
3969657,CARMEN MARIA PRADO FREIRE
3969754,ALEXANDRE RUBIO ROSO
3969843,JORGE LUIS MARTINHACK
3969932,CENTRO DE DIAGNOSTICOS CARDIOLOGICOS
3969983,GASPAR SILVA ANDRE DA COSTA
3970078,SIMONE PESSATO
3970345,CONSULTORIO DENTARIO DANIELA ILGENFRITZ SILVEIRA
3970353,CONSULTORIO PSICOLOGICO DRA IDILENE DA SILVA CARDOSO
3970361,CONSULTORIO MEDICO
3970388,CONSULTORIO DENTARIO
3970396,PAOLA BARBOSA PERERIRA ME
3970434,CLINICA DE OLHOS JOAO BATISTA DE AVELAR BASTOS
3970450,CONSULTORIO DENTARIO FABRICIO BERTOLI CUNHA
3970477,OROCORPORAL
3970663,TANIA BORGES CAFRUNI
3970760,CLINICA SCOPEL
3971457,JOSEMAR ROBERTO MACHADO CARAZINHO
3971775,CLINRAD RADIOLOGIA
3971783,CONSULTORIO PSICOLOGICO
3971791,LUIZ CARLOS VARGAS
3971805,LABORATORIO SANTA CRUZ
3971864,LUIZ ALBERTO HARTMANN
3971872,FINKLER MEDICINA GERAL CONSULTORIA E ASSESSORIA EM PSICOLOGI
3971880,GISELA MARLISE WALTER
3971899,RUDY HAIRTON GOELLNER
3971902,ROMEU LUIZ WEBER
3971929,CONSULTORIO MEDICO FERNANDO SIQUEIRA CLAVE
3971937,CONSULTORIO MEDICO RONALD PERRET BOSSEMEYER
3971945,LABORATORIO DIAGNOSTIKA
3971953,CONSULTORIO MEDICO EDUARDO MARTINS DE OLIVEIRA ROLIM
3971961,CONSULTORIO MEDICO ROMULO CONCEICAO CASTAGNA
3971988,CONSULTORIO MEDICO JOSE ALBERI MOREIRA FELIX
3971996,CONSULTORIO MEDICO IRAJA ALVES DE OLIVEIRA JUNIOR
3972003,CONSULTORIO MEDICO PEDRO LUIZ COSER
3972011,CONSULTORIO MEDICO LUIZ CARLOS ALVES DE OLIVEIRA
3972038,CONSULTORIO MEDICO MARLY FRANCISCO SCHWERTNER
3972046,CONSULTORIO MEDICO LUIZ CARLOS WEBER
3972054,CONSULTORIO MEDICO MAURO ANDRE MERTEN
3972062,CONSULTORIO MEDICO JANE MARGARETE COSTA
3972089,CONSULTORIO MEDICO REINALDO AGNE RITZEL
3972097,CONSULTORIO MEDICO RICARDO RIZZATO FILHO
3972119,CLINICA DE FISIOTERAPIA
3972127,CONSULTORIO DERMATOLOGICO
3972135,CONSULTORIO CLINICO DR WILMAR
3972143,CONSULTORIO GASTROLOGIA DR MARIO
3972178,CONSULTORIO DE NEFROLOGIA DR JEAN
3972186,RODNEY FONSECA DE CARVALHO
3972194,CONSULTORIO CIRURGIAO PEDIATRA DR ELCIO
3972208,CONSULTORIO DE ONCOLOGIA DR JULIANO
3972216,MARCELO RAMOS DA SILVA REGENIN
3972267,CONSULTORIO MEDICO DR VANDERLEI
3972275,DEBORA VIEIRA BARATZ
3972283,CONSULTORIO GINECOLOGIA OBSTETRICIA DRA VANILDES
3972291,CLINICA DE CIRURGIA PLASTICA HELENA ABREU
3972305,CONSULTORIO MEDICO DR RENO
3972313,CONSULTORIO MEDICO DR PAULO MARTINS
3972364,CENTRODENT LTDA
3972372,CONSULTORIO MEDICO DRA LIDIA
3972380,CONSULTORIO MEDICO DRA HELIARA
3972399,CONSULTORIO MEDICO DR VITOR CACHOEIRA
3972410,CONSULTORIO ODONTOLOGICO DRA ANA MARIA CERESER BARBOSA
3972429,CONSULTORIO MEDICO DRA MARJEANE CRISTINA JAQUES HORCKMULLER
3972437,MARLENE CARMEM BANDEIRA
3972445,CONSULTORIO MEDICO DR JOSE SILVA AYUB
3972453,CONSULTORIO MEDICO DR GIL MARGIL MARQUES FILHO
3972461,CONSULTORIO MEDICO DR ALFREDO SILVA AYUB
3972488,CONSULTORIO MEDICO DRA MARA LUCIA MARQUES AYUB
3972518,RUBENS CESAR FERNANDES ECHEVERRIA
3972534,MARLEN MICK HARTER
3972569,DOCE MAGIA
3972577,ROBERTO WESTPHALEN ETCHEGOYEN
3972585,CLINICA ASSIMETRA
3972631,MARIANE CAMARGO
3972658,ANTONIO CARLOS BASTOLLA
3972682,CEOO CENTRO ESPECIALIZADO EM OFTAMOLOGIA E OTORRINOLARINGO
3972712,CAPS I CENTRO DE SAUDE MENTAL CASA ABERTA II
3972720,MARISTELA
3972739,EQUIPE DE SAUDE DA FAMILIA CRUZEIRO DO SUL
3972747,CONSULTORIO PSICOLOGICO VALERIA MATTOS RODRIGUES
3972763,VITALITA CENTRO CLINICO DE SAUDE
3972801,CONSULTORIO ODONTOLOGICO VANIA GIRARDI DA SILVA SOUZA
3972836,CONSULTORIO ODONTOLOGICO TELMO DALPIAZ BOFF
3972844,CONSULTORIO ODONTOLOGICO MARIA ALZIRA VIEIRA BOFF
3972984,MOACIR EMILIO FERREIRA
3973174,ASSOCIACAO VITALIDADE
3973646,CAROLINA BOFF CLINICA DE FONOAUDIOLOGIA LTDA
3973883,ADELMA MARIA MORTARI WOLFF
3973964,EDUARDO EUGENIO CASAGRANDE
3974103,FABIO CESAR VIERO
3974243,FLAVIO RENATO MONAIAR
3974251,CLINICA MEDICA MONAIAR LTDA
3974324,INDIO RIOPARDENSE BORGES
3974332,RAMED
3974340,PAULO CUSTODIO DE BARROS
3974448,CESAR OSCAR DA SILVEIRA PRESTES
3974464,CONSULTORIO ODONTOLOGICO JAIR FRANCO DE SOUZA
3974472,SILVIO KLIPPEL
3974499,CONSULTORIO MEDICO DR JOSE ANTONIO GRINGS
3974529,JOAO PAULO LUCIETTO MAXIMILIANO DE ALMEIDA
3974545,NOLVI FRANCISCO BAGGIO MAXIMILIANO DE ALMEIDA
3974561,ERRADICAR CLINICA DE VACINACAO
3974588,GABRIELA MAGALHAES CASTILLA MATIAS
3974626,MARA LOURDES TURCONI
3974634,BRENO MARZOLA DA SILVEIRA
3974650,SADI POLETTO
3974677,CLINICA SPAGNOL LTDA
3974693,CLINICA DE REUMATOLOGIA DRA SOLANGE MARIA TOFFOLI EIRELI M
3974715,ADONIS DEI RICARDI
3974766,CLINICA DE ORTOPEDIA E TRAUMATOLOGIA MENINO DEUS
3975010,TRAUMACENTER
3975371,CENTRO UNIVERSITARIO CESUCA
3975487,DELTA ODONTOLOGIA CARAZINHO
3975509,NACES NUCLEO DE ASSESSORIA E CONSULTORIA EM EDUCACAO E SAU
3975576,ACASSIA DE SOUZA BOCHI
3975770,CROL
3975878,FISIOGIN
3975924,HELENISE KRAEMER
3975932,FONOAUDIOLOGA ROBERTA ANDRIGHETTO NUNES
3975940,FONOAUDIOLOGA INAE COSTA RECHIA
3975959,CONSULTORIO MEDICO ARIOVALDO LEAL FAGUNDES
3975967,CONSULTORIO MEDICO JULIO CEZAR SARTURI
3975975,CONSULTORIO MEDICO ROGERIO LUIS FABRA
3975983,CONSULTORIO MEDICO ALBERTO DOS SANTOS RIESGO
3975991,CONSULTORIO MEDICO ALESSANDRA NAIMAIER BERTOLAZI
3976009,CONSULTORIO MEDICO VANIA MARIA ZURLO BARIN
3976017,CONSULTORIO MEDICO JANICE SITYA
3976076,CONSULTORIO MEDICO MARIA CLARA DA SILVA VALADAO
3976092,CONSULTORIO ODONTOLOGICO LIZETE MARIA SANGOI COPETTI
3976106,CONSULTORIO MEDICO WANI HELIENE HERMES BONINI
3976114,CONSULTORIO MEDICO ANDREA LUCIA MACHADO BARCELOS
3976122,CONSULTORIO MEDICO THAIS APARECIDA MOREIRA DE OLIVEIRA
3976130,CONSULTORIO MEDICO PAULO ROBERTO LORENTZ AITA
3976157,CONSULTORIO MEDICO ROGERIO KNEBEL
3976165,CONSULTORIO MEDICO PAULO ROBERTO CASTRO DE OLIVEIRA
3976246,CENTRO CLINICO DA INFANCIA E ADOLESCENCIA SOC SIMPLES LTDA
3976890,ORAL SIN IMPLANTES
3976998,ORTO RADIS
3977005,DINO MEZZARI
3977048,ANDREIA JORGE BOHN
3977056,ODONTOLOGIA CLINICA
3977064,LABORATORIO VITAL
3977072,CLINICA MEDICA CENI BARRETO S S LTDA
3977102,ROBERTO BERWANGER SILVA
3977110,JOSE HUMBERTO GUEDES GONDIM
3977129,PRISCILA MARQUES LESE
3977188,CENTRO DE OLHOS
3977234,INES DA COSTA TATSCH
3977471,ODONTOLOGIA SANMARTIN
3977811,CONSULTORIO MEDICO MARIA LUCIA AMARAL WENDT
3977838,CONSULTORIO MEDICO FABIAN DREWS ABAID
3977862,CONSULTORIO MEDICO AUREO FELIPE NORBERTO DUARTE
3977935,FISIORAUPP
3978451,ANELISE SALLES PRAUCHNER
3979016,EDUARDA MAFACIOLLI PASQUALOTTO
3979245,CLINICA FABIANO SIVIERO PACHECO
3979385,ELEONORA SOARES BENEMANN
3979458,AIRTON LUIZ FIEBIG CARAZINHO
3979466,CLINICA MEDICA GUIDOLIN
3979504,RITA DA PORCIUNCULA DIAS DA COSTA
3979512,TATIANE DELBRUCKE
3979911,CONSULTORIO DE ORTOPEDIA E TRAUMATOLOGIA DR FLAVIO PAGLIOSA
3979938,UNIDADE DE SAUDE DIVISA
3979946,CENTRO DE MAMA DRA ANA ZAMPIERI
3979954,CONSULTORIO MEDICO DR WILSON TAGLIETTI
3979962,CONSULTORIO GINECOLOGICO DRA TATIANA
3979970,CONSULTORIO MEDICO EDANIR BICHOFF
3980200,SANDRA INES SILBERSCHLAG
3980472,CONSULTORIO MEDICO DR JUCIR DA ROSA MICHELON
3980499,CONSULTORIO MEDICO DRA CELIA MENDES CORREA
3980502,ORAL SIN IMPLANTES
3980588,DUARTERAPIA
3980731,ENIO LUIZ SALGADO RIBEIRO
3980758,UNIDADE AMB 13 SANTA AUTA
3980928,POLICLINICA SARANDI
3980987,CONSULTORIO MEDICO LARRY CASSOL ARGENTA
3981002,MARGARET MARIA KNACK DE ALMEIDA
3981010,CONSULTORIO MEDICO LUIZ ROBERTO BOTTON
3981029,CONSULTORIO MEDICO HEITOR ENIO LUDWIG
3981037,PAULO JUAREZ MARTINS DE ALMEIDA
3981045,CONSULTORIO MEDICO CLARISSA BOCHI DO AMARAL
3981053,FLAVIO SEVERO MASOTTI
3981142,CENTRO DE REFERENCIA EM SAUDE DO TRABALHADOR
3981207,JOSE SILVEIRA OSORIO
3981231,CONSUELO CORREA LOBO D AVILA
3981428,RAFAEL DE NOGUEIRA RIBEIRO
3981622,LUIZ ALBERTO DOMINGUES MATTE
3981630,MARIA LUCIA BRUM DA COSTA
3981649,MILTON POKORNY
3982017,FISIOTRAUMA CLINICA DE FISIOTERAPIA SOCIEDADE SIMPLES LTDA
3982092,JOSE SELIGMAN
3982165,VISSOKY SERVICOS MEDICOS
3982203,PRO VIVER FISIO COMERCIO E SERVICOS DE FISIOTERAPIA LTDA
3982238,VERA GIRARDI
3982300,TRAUMACENTER QUINTINO
3982424,LUIS JAIME VIEIRA BARATZ
3982475,CAPS CENTRO DE ATENCAO PSICOSSOCIAL
3982513,LIANE KRAUSE KILIAN
3982882,DROGARIA NOVO AROMA
3982912,CONSULTORIO MEDICO HUMBERTO TAKIZAWA BERNER
3982920,CONSULTORIO MEDICO LEILA SOARES GOMES
3982939,CONSULTORIO MEDICO LEANDRO ALMEIDA STREHER
3982947,CONSULTORIO MEDICO ANA ALZIRA FENALTE STREHER
3982955,CONSULTORIO MEDICO JEFERSON FABIANO AITA
3982963,CONSULTORIO MEDICO FERNANDA DIAS GOULART
3982971,CONSULTORIO MEDICO CRISTINE KOLLING KONOPKA
3982998,CONSULTORIO MEDICO CLOVIS LUIS KONOPKA
3983005,HARMONIE FISIOTERAPIA
3983064,CONSULTORIO DA DRA ELIZIANE ASSIS DE MEDEIROS
3983072,CLAUDIO DA SILVA CRUZ
3983080,JANE TEREZINHA ANIOLA MACHADO MILDNER
3983110,LUIZ CARLOS ALVES FLORES
3983145,EVELISE MARIA COZER
3983188,VERA LUCIA BRIESE
3983234,NEUZA DE FATIMA DE AVILA SOARES
3983242,EDEMAR KLEIN
3983250,SIMONE BERWANGER SIMON
3983293,CENTRO DE TESTAGEM E ACONSELHAMENTO SAE
3983315,AMBULATORIO TUBERCULOSE
3983331,CASA DE SAUDE DA FAMILIA ATENCAO ESPECIALIZADA
3983366,ANDERSON PEREIRA ZEDRADEK
3983382,CLINICA DR PINTO
3983390,PAULO ERNESTO SUSIN
3983404,CEDRIC HEITOR RODRIGUES COELHO
3983412,CLODOALDO MACHADO COELHO
3983420,INSTITUTO PORTO ALEGRENSE DE OTORRINOLARINGOLOGIA
3983595,FERNANDA CARDOSO SEVERO
3983781,ANA CRISTINA DE SOUZA CAMPOS
3984524,FARMACIA POPULAR DO BRASIL
3984559,MARGOT TIETZ
3985105,SAUDEX SAUDE
3985148,CASSIANO PINOTTI ROVEDA
3985164,POSTO DE SAUDE DE IPUACU CAICARA
3985172,PSICOLOGA LEANE MARIA LOPES
3985180,ASOMED MEDICINA DO TRABALHO
3985199,CONSULTORIO MEDICO ANTONIO CARLOS AITA DENARDIN
3985245,CAROLINA TIMM VARELLA CLINICA ODONTOLOGICA LTDA
3985377,AUDIO SERVICE AUDIOMETRIAS LTDA
3985709,DENISE SOARES CASSOL
3986012,CONSULTORIO OTORRINOLARINGOLOGIA DRA LIS
3986020,CONSULTORIO DE MASTOLOGIA DRA CLARICE
3986039,CONSULTORIO OTORRINOLARINGOLOGIA DR PAULO
3986047,CONSULTORIO MEDICO GASTROENTEROLOGISTA
3986055,CONSULTORIO DERMATOLOGIA DERMA SAUDE
3986063,CONSULTORIO DERMATOLOGIA
3986071,CONSULTORIO MEDICO DRA VERA
3986101,CONSULTORIO DE UROLOGIA DR LUCIANO
3986128,C A D
3986136,KATIA LIMA VITOLA CALIXTO
3986144,CONSULTORIO HEMATOLOGIA DRA ADRIANA
